iter	TotalF1	MultiClass
0	0.7840859659	1.385262322
1	0.7817831032	1.382973146
2	0.7817957775	1.380315532
3	0.7939133857	1.378009772
4	0.795030968	1.376416563
5	0.7966873306	1.375185941
6	0.8001058505	1.373846299
7	0.8044388101	1.372093314
8	0.8017761969	1.370419904
9	0.8044806187	1.368497615
10	0.804160099	1.366727085
11	0.807764518	1.364527649
12	0.8036015273	1.362905099
13	0.8082049103	1.361054566
14	0.8055683119	1.359151816
15	0.808938234	1.35697093
16	0.8044402123	1.355132348
17	0.8022963311	1.353603083
18	0.801048379	1.352185176
19	0.8025022982	1.350829379
20	0.805495039	1.349336605
21	0.8077576239	1.347391339
22	0.8104386686	1.346198715
23	0.8129570909	1.345213622
24	0.8135104284	1.34375056
25	0.8138271393	1.342066731
26	0.8147396802	1.340334019
27	0.8140023245	1.339034139
28	0.8155134929	1.336427218
29	0.8136162697	1.335174394
30	0.8105753021	1.333882053
31	0.8128739949	1.333067879
32	0.8136450753	1.331485329
33	0.8127404946	1.330436008
34	0.8133582647	1.328854156
35	0.815023148	1.326864454
36	0.8159578671	1.325007391
37	0.8152853128	1.324140764
38	0.8142799973	1.322535041
39	0.8140009031	1.321298287
40	0.8137431416	1.319328787
41	0.8093580313	1.317711743
42	0.8094055623	1.316555976
43	0.8093060247	1.315549761
44	0.8092977429	1.314027909
45	0.8099543996	1.31310495
46	0.8092951968	1.311838016
47	0.8115722614	1.310205521
48	0.8113051596	1.309124635
49	0.8109284005	1.307857001
50	0.8095572283	1.306377075
51	0.8102311963	1.304934806
52	0.8102774725	1.304250125
53	0.8108815356	1.302846008
54	0.8096092017	1.30123606
55	0.8090342066	1.300360155
56	0.8111312664	1.299035985
57	0.8116162294	1.297982562
58	0.8109691618	1.296495206
59	0.8099669057	1.295130441
60	0.8100135295	1.294271575
61	0.809657739	1.293369262
62	0.811297566	1.29236397
63	0.8109730126	1.29003427
64	0.8109203512	1.28890679
65	0.8089114738	1.286720858
66	0.8086656863	1.285225161
67	0.8098881481	1.283447644
68	0.8089004773	1.282016054
69	0.8101950128	1.280482424
70	0.8095526144	1.278783373
71	0.8099283575	1.277743183
72	0.810530298	1.275973778
73	0.8118193671	1.274588442
74	0.8134065905	1.27187362
75	0.8130496702	1.270760095
76	0.8147059721	1.268825558
77	0.8153743532	1.267622274
78	0.81452716	1.266477661
79	0.8148522883	1.264744298
80	0.8147958789	1.263649921
81	0.815754538	1.262377755
82	0.8151011486	1.260083994
83	0.815664068	1.258953664
84	0.8159558054	1.257695509
85	0.8154624289	1.256482035
86	0.8148578105	1.254794594
87	0.8145234309	1.253303435
88	0.8144836726	1.252618577
89	0.8150855841	1.251309627
90	0.8150705571	1.250156404
91	0.8151113325	1.248855238
92	0.8147571396	1.247473799
93	0.8157934694	1.245899691
94	0.8158274332	1.244858415
95	0.8158193072	1.243149027
96	0.8154066454	1.241715111
97	0.813761635	1.239981413
98	0.8150330793	1.238968295
99	0.8146858992	1.237734257
100	0.8118043116	1.236315697
101	0.8128361003	1.235158648
102	0.8121959334	1.233865734
103	0.8118366057	1.23223263
104	0.8115274812	1.231113672
105	0.8115328008	1.230213056
106	0.8118469589	1.229220056
107	0.8104807679	1.226614318
108	0.8106303461	1.224887349
109	0.8112213866	1.222629477
110	0.8109296527	1.221673699
111	0.8112550942	1.220836615
112	0.8121957125	1.219414597
113	0.8124975277	1.218424743
114	0.814350446	1.217188591
115	0.8139357206	1.216496696
116	0.8142622086	1.21523603
117	0.8132633251	1.214406715
118	0.8142815223	1.213110645
119	0.8133284999	1.211845167
