iter	Passed	Remaining
0	257	2571201
1	332	1661714
2	382	1275087
3	425	1062376
4	521	1042568
5	598	997520
6	636	908243
7	675	843653
8	712	790833
9	755	754523
10	819	744066
11	867	722263
12	922	708630
13	987	704639
14	1060	706086
15	1117	697482
16	1166	685245
17	1210	671176
18	1258	661361
19	1312	655036
20	1360	646278
21	1429	648483
22	1496	649309
23	1548	643530
24	1595	636627
25	1641	629775
26	1682	621363
27	1726	614909
28	1774	610038
29	1824	606369
30	1880	604583
31	1928	600815
32	2003	605116
33	2095	614194
34	2182	621256
35	2367	655312
36	2453	660703
37	2603	682435
38	2721	695003
39	2857	711581
40	2924	710292
41	3042	721364
42	3106	719367
43	3171	717606
44	3239	716605
45	3292	712362
46	3391	718261
47	3454	716261
48	3549	720786
49	3635	723542
50	3737	729085
51	3933	752536
52	4000	750823
53	4125	759825
54	4220	763171
55	4295	762689
56	4407	768761
57	4479	767800
58	4565	769183
59	4653	770862
60	4735	771554
61	4801	769618
62	4914	775150
63	5001	776455
64	5051	772101
65	5110	769200
66	5171	766703
67	5223	762971
68	5280	760057
69	5326	755617
70	5370	751082
71	5445	750824
72	5521	750888
73	5575	747849
74	5613	742856
75	5670	740441
76	5755	741669
77	5805	738442
78	5892	739954
79	5968	740080
80	6042	739951
81	6107	738750
82	6157	735711
83	6223	734680
84	6277	732282
85	6331	729838
86	6389	728011
87	6445	726011
88	6510	725030
89	6580	724568
90	6638	722896
91	6706	722252
92	6750	719162
93	6796	716223
94	6844	713668
95	6886	710438
96	6931	707688
97	7020	709387
98	7073	707437
99	7145	707374
100	7216	707269
101	7272	705736
102	7334	704760
103	7418	705895
104	7472	704231
105	7527	702637
106	7578	700646
107	7642	699964
108	7718	700373
109	7778	699365
110	7836	698196
111	7894	696944
112	7943	695044
113	8087	701341
114	8168	702154
115	8242	702290
116	8316	702461
117	8376	701515
118	8434	700352
119	8475	697826
120	8543	697535
121	8599	696310
122	8656	695092
123	8730	695379
124	8784	694012
125	8833	692250
126	8882	690559
127	8956	690786
128	9006	689157
129	9056	687614
130	9099	685555
131	9158	684665
132	9201	682658
133	9255	681445
134	9310	680360
135	9354	678451
136	9389	676000
137	9468	676663
138	9529	676062
139	9652	679808
140	9713	679214
141	9772	678452
142	9828	677513
143	9869	675530
144	9919	674192
145	9970	672917
146	10016	671358
147	10057	669481
148	10102	667929
149	10157	666976
150	10202	665445
151	10251	664204
152	10299	662870
153	10342	661262
154	10385	659625
155	10422	657658
156	10461	655892
157	10507	654532
158	10556	653388
159	10604	652182
160	10653	651030
161	10700	649829
162	10741	648229
163	10785	646862
164	10826	645339
165	10867	643809
166	10903	642029
167	10945	640585
168	10984	639000
169	11025	637558
170	11062	635872
171	11101	634336
172	11140	632813
173	11180	631356
174	11229	630464
175	11276	629427
176	11315	627976
177	11354	626537
178	11389	624897
179	11432	623724
180	11471	622334
181	11522	621559
182	11565	620416
183	11608	619262
184	11646	617880
185	11690	616831
186	11732	615679
187	11788	615279
188	11840	614617
189	11877	613271
190	11920	612181
191	11968	611398
192	12005	610044
193	12036	608386
194	12067	606799
195	12112	605874
196	12153	604782
197	12200	603996
198	12239	602799
199	12281	601796
200	12317	600489
201	12355	599300
202	12401	598486
203	12449	597822
204	12493	596937
205	12545	596443
206	12594	595858
207	12638	594959
208	12678	593925
209	12721	593078
210	12789	593364
211	12839	592804
212	12888	592195
213	12922	590948
214	12985	591004
215	13048	591058
216	13114	591247
217	13158	590420
218	13195	589353
219	13228	588073
220	13268	587113
221	13310	586277
222	13354	585504
223	13398	584729
224	13446	584164
225	13495	583636
226	13533	582654
227	13574	581795
228	13624	581341
229	13668	580595
230	13701	579447
231	13739	578476
232	13770	577238
233	13815	576581
234	13861	576008
235	13905	575320
236	13952	574778
237	13997	574146
238	14041	573451
239	14082	572694
240	14125	572004
241	14168	571300
242	14204	570328
243	14248	569709
244	14288	568898
245	14325	568009
246	14364	567178
247	14400	566268
248	14442	565563
249	14491	565175
250	14534	564538
251	14578	563944
252	14621	563314
253	14659	562484
254	14695	561594
255	14738	560971
256	14776	560167
257	14811	559287
258	14851	558560
259	14893	557950
260	14932	557183
261	14972	556502
262	15011	555751
263	15047	554951
264	15088	554297
265	15129	553640
266	15173	553110
267	15208	552262
268	15255	551846
269	15293	551120
270	15331	550419
271	15369	549692
272	15407	548969
273	15438	548009
274	15472	547149
275	15511	546490
276	15552	545926
277	15592	545275
278	15634	544727
279	15670	543998
280	15712	543442
281	15752	542841
282	15797	542431
283	15842	541977
284	15929	542994
285	15975	542593
286	16023	542294
287	16081	542305
288	16155	542849
289	16206	542623
290	16246	542063
291	16287	541501
292	16329	540977
293	16370	540438
294	16412	539942
295	16454	539434
296	16496	538932
297	16528	538130
298	16568	537551
299	16606	536959
300	16642	536269
301	16684	535778
302	16723	535196
303	16761	534599
304	16792	533768
305	16831	533215
306	16869	532637
307	16915	532300
308	16956	531796
309	16997	531315
310	17028	530519
311	17070	530066
312	17110	529557
313	17154	529172
314	17192	528594
315	17240	528344
316	17272	527599
317	17316	527222
318	17354	526688
319	17389	526031
320	17430	525560
321	17471	525108
322	17513	524713
323	17548	524060
324	17591	523683
325	17630	523171
326	17667	522608
327	17704	522061
328	17742	521547
329	17778	520957
330	17815	520411
331	17854	519938
332	17891	519382
333	17931	518936
334	17966	518344
335	17998	517683
336	18034	517104
337	18069	516540
338	18106	516009
339	18138	515355
340	18227	516302
341	18277	516153
342	18313	515596
343	18356	515251
344	18399	514925
345	18441	514543
346	18478	514036
347	18514	513499
348	18546	512869
349	18585	512432
350	18624	511976
351	18666	511618
352	18706	511222
353	18744	510758
354	18785	510375
355	18822	509891
356	18866	509608
357	18902	509112
358	18936	508530
359	18976	508137
360	19011	507625
361	19051	507223
362	19085	506691
363	19120	506172
364	19163	505868
365	19200	505400
366	19243	505097
367	19281	504675
368	19313	504098
369	19373	504232
370	19437	504483
371	19488	504393
372	19537	504249
373	19593	504288
374	19645	504233
375	19705	504382
376	19789	505130
377	19856	505438
378	19933	506027
